user_id,signup_timestamp,source,device_type,country
2049554,2024-01-27,referral,desktop,Canada
1214510,2024-01-25,organic,mobile,Australia
3145764,2024-06-11,referral,mobile,USA
3198867,2024-01-22,organic,desktop,USA
2184366,2024-01-30,organic,desktop,India
3519375,2024-03-02,organic,mobile,Australia
2698121,2024-03-08,organic,desktop,USA
3261749,2024-03-21,organic,desktop,India
2820182,2024-05-30,ads,mobile,India
3049061,2024-04-08,ads,mobile,India
3475806,2024-08-11,referral,desktop,India
1561738,2024-07-30,organic,mobile,Canada
3485734,2024-04-12,organic,mobile,India
4190094,2024-02-23,ads,mobile,Canada
3639275,2024-02-15,organic,tablet,India
2547782,2024-02-24,referral,desktop,India
1138337,2024-01-12,ads,tablet,India
4119518,2024-05-30,organic,mobile,Canada
4241125,2024-02-11,organic,tablet,India
3955071,2024-02-18,organic,mobile,Australia
4671221,2024-04-05,ads,desktop,India
1588753,2024-01-05,organic,mobile,Canada
1013724,2024-01-17,ads,tablet,Germany
3222293,2024-04-11,social,mobile,India
2565212,2024-02-11,organic,mobile,UK
1140862,2024-08-17,organic,desktop,USA
4949887,2024-04-10,referral,mobile,Canada
2593648,2024-01-05,referral,desktop,Canada
4618306,2024-02-13,ads,desktop,USA
2545124,2024-01-17,ads,mobile,UK
3029065,2024-03-07,organic,mobile,India
2774624,2024-02-19,ads,desktop,India
3873246,2024-02-09,email,desktop,India
3659072,2024-03-13,referral,mobile,India
1726977,2024-05-25,organic,desktop,India
2337112,2024-02-02,ads,mobile,India
3325506,2024-02-12,organic,tablet,USA
3820168,2024-12-13,organic,mobile,Australia
4287115,2024-01-01,organic,mobile,India
3995455,2024-04-10,ads,desktop,India
3937051,2024-01-19,email,mobile,UK
3102805,2024-02-18,organic,mobile,India
2813974,2024-02-22,email,desktop,India
1815809,2024-02-07,ads,mobile,UK
1706263,2024-10-07,social,desktop,Germany
4529364,2024-01-08,ads,mobile,Canada
1008963,2024-05-27,organic,desktop,India
3295203,2024-02-29,ads,mobile,India
2042872,2024-01-19,ads,mobile,Germany
4074928,2024-02-12,ads,mobile,India
2658170,2024-01-25,organic,desktop,USA
4195001,2024-02-08,referral,mobile,India
3998971,2024-01-12,social,mobile,India
2397694,2024-01-09,organic,mobile,UK
2692459,2024-03-24,ads,desktop,Australia
1665144,2024-03-15,email,mobile,India
2444209,2024-01-23,organic,tablet,Australia
1296857,2024-02-16,ads,mobile,India
4964441,2024-02-05,organic,mobile,USA
2889666,2024-02-11,referral,desktop,USA
2517096,2024-01-07,email,desktop,USA
4163401,2024-01-12,organic,desktop,Canada
1435264,2024-01-18,email,mobile,UK
4289789,2024-02-18,email,tablet,India
1869941,2024-01-10,email,tablet,Australia
4945666,2024-05-20,organic,mobile,India
3398978,2024-01-20,organic,mobile,India
1268229,2024-01-01,email,mobile,USA
2921000,2024-01-17,ads,mobile,India
3540757,2024-01-07,organic,mobile,UK
3086599,2024-08-01,organic,mobile,India
4669681,2024-01-18,referral,mobile,India
1356668,2024-02-04,ads,mobile,India
1052631,2024-04-11,email,tablet,India
2593943,2024-01-01,organic,tablet,Canada
1671666,2024-02-18,ads,desktop,India
3500232,2024-01-29,organic,mobile,USA
2156498,2024-01-20,organic,mobile,Canada
1139198,2024-01-26,organic,mobile,India
2231079,2024-01-25,referral,mobile,India
4930973,2024-02-03,organic,mobile,USA
1108529,2024-06-03,ads,desktop,India
2176501,2024-01-22,social,desktop,Australia
3247584,2024-01-22,organic,mobile,Germany
2437730,2024-04-25,ads,desktop,Germany
1143611,2024-01-30,ads,mobile,USA
1705531,2024-01-15,referral,desktop,India
3406803,2024-01-22,ads,mobile,Germany
4812178,2024-06-11,email,mobile,India
1079698,2024-01-13,organic,mobile,USA
4294614,2024-02-20,referral,desktop,Australia
3341369,2024-01-24,organic,desktop,USA
2829938,2024-01-18,ads,desktop,Germany
2947608,2024-03-20,email,mobile,India
4722253,2024-01-01,organic,mobile,India
4168463,2024-01-12,ads,mobile,India
1961989,2024-05-31,referral,desktop,India
3729960,2024-01-14,email,mobile,India
4482473,2024-05-05,ads,mobile,USA
3365576,2024-06-03,email,desktop,USA
2932513,2024-01-04,email,desktop,India
3718160,2024-02-06,ads,mobile,Australia
4414571,2024-02-02,ads,desktop,India
4025697,2024-01-31,email,tablet,Germany
3969532,2024-03-31,organic,mobile,USA
2496590,2024-01-02,referral,mobile,India
3328673,2024-01-22,organic,desktop,India
3144338,2024-02-29,social,desktop,India
1503765,2024-01-08,ads,desktop,Australia
1732254,2024-03-28,organic,mobile,India
4401533,2024-04-05,ads,mobile,Canada
4321464,2024-06-01,ads,mobile,India
1642375,2024-01-24,organic,tablet,Canada
3044409,2024-02-05,ads,mobile,India
1075446,2024-01-18,ads,mobile,India
3532597,2024-01-09,ads,tablet,India
4110765,2024-05-17,organic,mobile,USA
2321380,2024-01-19,referral,mobile,India
3635382,2024-01-18,ads,desktop,India
4640798,2024-03-19,organic,mobile,India
1749648,2024-02-03,referral,desktop,USA
1379796,2024-07-25,referral,desktop,USA
2616903,2024-02-08,referral,desktop,USA
3488765,2024-04-03,organic,mobile,Canada
2203532,2024-03-23,ads,mobile,Germany
2897740,2024-01-25,organic,mobile,India
2387455,2024-01-08,organic,desktop,USA
2516990,2024-01-18,organic,desktop,Australia
3010415,2024-04-23,organic,desktop,India
1795922,2024-01-14,email,mobile,India
1873085,2024-01-24,ads,desktop,India
2994654,2024-01-16,email,tablet,Canada
3275387,2024-05-22,organic,desktop,USA
2384903,2024-04-28,organic,desktop,Germany
4207138,2024-03-13,ads,tablet,Australia
4702049,2024-06-23,organic,mobile,Canada
1173259,2024-01-20,ads,mobile,UK
4094645,2024-01-15,ads,tablet,India
3824262,2024-02-10,referral,mobile,UK
2037408,2024-01-12,ads,mobile,India
4029609,2024-05-06,organic,mobile,USA
2412344,2024-01-06,organic,mobile,India
1254469,2024-01-19,ads,mobile,Australia
3390162,2024-06-14,organic,mobile,UK
3762471,2024-02-07,ads,mobile,India
2556407,2024-01-02,ads,desktop,India
4496342,2024-01-12,organic,mobile,India
4659314,2024-02-28,organic,desktop,USA
1229061,2024-01-20,ads,mobile,India
4408845,2024-01-25,organic,mobile,USA
3966593,2024-02-17,organic,desktop,India
4436279,2024-06-09,referral,mobile,Australia
4850953,2024-05-28,organic,mobile,India
1352119,2024-01-25,email,mobile,India
1176176,2024-01-24,ads,desktop,India
1832780,2024-06-14,organic,tablet,USA
1050581,2024-02-20,ads,tablet,Germany
1834188,2024-01-04,email,desktop,India
4083184,2024-02-04,organic,desktop,India
4913325,2024-01-26,organic,desktop,India
2961251,2024-04-26,social,desktop,India
4430168,2024-01-27,ads,desktop,India
2491847,2024-01-07,referral,tablet,USA
3139893,2024-03-02,organic,desktop,Australia
2348701,2024-03-15,organic,mobile,India
4231719,2024-01-20,referral,mobile,India
3964757,2024-04-18,referral,mobile,Australia
1259733,2024-03-28,social,mobile,USA
2932744,2024-04-14,ads,tablet,India
2151569,2024-03-05,organic,mobile,USA
1313515,2024-02-03,social,tablet,USA
1545428,2024-01-18,organic,mobile,India
4342329,2024-08-03,organic,mobile,UK
1421741,2024-01-02,ads,desktop,USA
1929070,2024-01-11,referral,mobile,Canada
4345736,2024-08-11,ads,mobile,India
3343642,2024-04-22,ads,desktop,Canada
3686672,2024-03-18,ads,tablet,UK
3764820,2024-01-25,ads,tablet,Germany
1921416,2024-01-01,organic,mobile,India
4937257,2024-02-16,organic,desktop,UK
4479324,2024-02-21,organic,mobile,India
3402811,2024-01-27,ads,desktop,UK
3205144,2024-01-08,organic,mobile,India
4578895,2024-01-05,ads,mobile,USA
4100135,2024-05-07,organic,desktop,India
4357802,2024-01-30,organic,mobile,India
4863826,2024-01-26,ads,tablet,USA
4439526,2024-09-14,ads,mobile,India
4247637,2024-03-27,social,mobile,India
2911004,2024-01-31,ads,mobile,India
2742978,2024-02-15,organic,mobile,India
3150308,2024-01-29,organic,tablet,USA
3400420,2024-01-19,ads,desktop,UK
4622574,2024-03-23,organic,mobile,India
4871580,2024-01-26,organic,mobile,India
4665070,2024-01-21,referral,mobile,Germany
4331223,2024-02-23,ads,desktop,India
2711457,2024-05-17,ads,mobile,USA
1476041,2024-02-14,organic,desktop,Australia
2030880,2024-03-04,referral,desktop,India
3439600,2024-01-05,ads,mobile,Canada
2751184,2024-01-15,ads,tablet,Canada
4529686,2024-06-08,organic,mobile,India
3553013,2024-02-10,organic,mobile,India
1159775,2024-02-26,organic,desktop,India
3195897,2024-04-22,ads,mobile,USA
2231703,2024-01-09,email,mobile,UK
1415751,2024-01-26,ads,desktop,Canada
1688702,2024-02-21,organic,mobile,India
3573358,2024-01-18,referral,desktop,India
2339766,2024-01-08,organic,desktop,India
3866035,2024-03-26,organic,desktop,India
1835376,2024-03-08,ads,mobile,Australia
